código,mesas,total_mesas,votantes,total_votantes,votos_por_candidato,votos_en_blanco,votos_nulos,votos_no_marcados,iván duque,gustavo petro,sergio fajardo,germán vargas lleras,humberto de la calle,promotores voto en blanco,viviane morales,jorge antonio trujillo sarmiento,cod_mun
660196,130,130,18424,46564,17929,299,145,51,7114,5931,2693,1295,739,19,51,87,1006039.0
144748,12391,12391,2617658,4726629,2520223,55261,32510,9664,1367745,238440,731609,99642,59974,9984,5203,7626,676968.0
280093,513,513,89387,187189,85020,2120,1704,543,49415,17824,12036,3336,1588,197,229,395,569707.0
69733,4931,4931,872446,1868411,848548,12459,9066,2373,234045,331687,85634,171968,16728,2370,2244,3872,195522.0
16001,14420,14420,3704908,5702805,3617740,55785,27919,3464,983931,1098478,1240799,172158,93830,8231,6354,13959,11001.0
232529,4224,4224,638736,1550644,623868,8316,4806,1746,256732,242378,55468,52111,10304,2715,1616,2544,619411.0
882230,2622,2622,560930,944530,542147,9455,7560,1768,225146,122686,148029,29967,10647,2392,1321,1959,1904249.0
244927,2121,2121,454723,782862,436174,7854,8647,2048,190557,34694,161420,30784,14322,1733,1215,1449,471336.0
704198,780,780,132610,286586,126695,3254,1894,767,67884,29965,21157,3497,2675,693,381,443,294687.0
885241,801,801,180946,276164,174896,2895,2535,620,107131,23130,38047,3445,1473,720,371,579,1619455.0
464068,2785,2785,481620,954036,459043,9878,9659,3040,107141,230919,60891,42032,13128,1171,1228,2533,817136.0
312379,2132,2132,399955,780342,388234,5430,5213,1078,171647,141502,29021,39281,3112,892,948,1831,508951.0
510681,1016,1016,119762,308970,113136,2138,3064,1424,30136,49552,3834,24343,3843,388,504,536,820585.0
6103611,2436,2436,279747,1376071,276648,2087,739,273,152432,34395,73833,10440,4223,527,400,398,0.0
390893,3356,3356,596408,1231078,583013,6531,5085,1779,228190,249303,22396,66728,10448,1375,1387,3186,703920.0
1759877,5030,5030,1208016,1884408,1159722,24596,20874,2824,475359,236862,328519,85862,20567,4628,2810,5115,2956365.0
450624,81,81,9651,26923,9324,137,140,50,3872,2126,1218,1839,185,12,27,45,852320.0
216023,162,162,25585,58298,24002,900,521,162,11488,5762,3869,1646,927,84,85,141,380241.0
704769,2178,2178,456774,817464,441793,8183,5457,1341,240669,95270,77837,17623,7155,1374,798,1067,1533302.0
720142,1585,1585,201440,581727,195102,2575,2805,958,76137,85149,10243,18010,3492,701,481,889,665705.0
631372,2539,2539,426222,940868,414981,5451,4407,1383,160752,143107,28233,71896,6811,1357,992,1833,1423711.0
1509091,1928,1928,437197,708340,419539,8576,7641,1441,211322,75945,101987,21473,4737,1388,855,1832,1461112.0
1476726,3309,3309,525501,1110166,503319,11845,7889,2448,134455,238683,70707,44709,10455,1601,1333,1376,3354668.0
1002058,3130,3130,626355,1155957,610560,7688,6477,1630,377152,56848,102210,63525,6108,1202,1091,2424,2176762.0
832212,620,620,103546,219520,99070,2326,1423,727,23136,60520,9788,1850,2973,350,200,253,1125592.0
312481,1243,1243,265477,467859,255378,4755,4425,919,109072,30357,97741,11861,4335,522,480,1010,759921.0
336625,2046,2046,442816,781544,425863,7836,7448,1669,175159,54207,164736,20657,7645,1589,816,1054,928911.0
112005,124,124,12804,48517,12400,327,61,16,5691,2361,1986,1507,655,18,32,150,176565.0
2358940,4733,4733,1005373,1674701,973141,18105,11647,2480,439664,171806,271849,63762,17250,2571,2059,4180,5951570.0
731141,1918,1918,352817,679867,345216,3369,2923,1309,129004,154208,12041,40761,4805,1339,937,2121,1831933.0
1366113,2882,2882,584162,1058296,563353,9531,9129,2149,284138,95458,117874,49266,11775,1513,1217,2112,3449909.0
1304625,9287,9287,1781961,3476616,1706766,40851,29638,4706,523898,485943,499925,137245,40923,6625,3684,8523,3209342.0
408067,66,66,6780,21537,6633,76,51,20,1013,2514,553,1359,1141,8,21,24,585005.0
288017,144,144,15977,48451,15571,198,143,65,8466,3244,1513,1962,207,23,88,68,397922.0
