código,municipio,departamento,mesas,total_mesas,votantes,total_votantes,votos_por_candidato,votos_en_blanco,votos_nulos,votos_no_marcados,iván duque,gustavo petro,dane,latitud,longitud
60010,El Encanto,Amazonas,3,3,296,776,288,3,2,3,107,181,91263,-1.747214,-73.209136
60013,La Chorrera,Amazonas,3,3,563,969,560,2,1,0,78,482,91405,-1.43337,-72.74994
60016,La Pedrera,Amazonas,3,3,249,965,248,1,0,0,66,182,91407,-1.3239,-69.58234
60017,La Victoria,Amazonas,1,1,17,61,16,1,0,0,5,11,91430,-0.1060558,-71.1448516
60001,Leticia,Amazonas,97,97,15811,36216,15212,423,141,35,8536,6676,91001,-4.203164999999999,-69.935907
60019,Miriti Parana,Amazonas,2,2,84,456,84,0,0,0,12,72,91460,-1.205904,-69.887903
60030,Puerto Alegria,Amazonas,1,1,73,264,72,0,0,1,32,40,91530,-1.005614,-74.0142539
60040,Puerto Arica,Amazonas,2,2,145,450,142,2,0,1,58,84,91536,-2.13332,-71.73326
60007,Puerto Nariño,Amazonas,12,12,2138,4456,2081,30,21,6,874,1207,91540,-3.7702,-70.38306
60021,Puerto Santander,Amazonas,2,2,166,595,163,2,1,0,48,115,91669,-0.6222799999999999,-72.383214
60022,Tarapaca,Amazonas,4,4,432,1356,420,7,3,2,146,274,91798,-2.891307,-69.741073
1004,Abejorral,Antioquia,44,44,7397,14967,7119,174,68,36,6572,547,5002,5.788692999999999,-75.428603
1007,Abriaqui,Antioquia,6,6,1056,1913,1018,27,1,10,975,43,5004,6.634555,-76.06573999999999
1010,Alejandria,Antioquia,12,12,2343,4549,2234,84,14,11,2018,216,5021,6.37488,-75.141637
1013,Amaga,Antioquia,60,60,10765,22350,9908,605,213,39,8193,1715,5030,6.037113000000001,-75.702277
1016,Amalfi,Antioquia,47,47,6392,17182,5922,354,93,23,5162,760,5031,6.906447999999999,-75.073161
1019,Andes,Antioquia,88,88,17010,34753,16293,503,183,31,14272,2021,5034,5.656421,-75.879654
1022,Angelopolis,Antioquia,17,17,2677,5812,2552,89,26,10,2284,268,5036,6.112769,-75.71163899999999
1025,Angostura,Antioquia,26,26,3340,9079,3086,143,86,25,2810,276,5038,6.885648,-75.33582899999999
1028,Anori,Antioquia,34,34,3325,11628,3043,220,38,24,2217,826,5040,7.073562,-75.14728699999999
1031,Antioquia,Antioquia,59,59,10271,20540,9507,511,201,52,7737,1770,5042,6.557179,-75.827129
1034,Anza,Antioquia,17,17,2918,5771,2810,74,23,11,2609,201,5044,6.301106,-75.853255
1035,Apartado,Antioquia,241,241,43652,92620,40964,2011,590,87,19492,21472,5045,7.882760999999999,-76.624692
1037,Arboletes,Antioquia,63,63,11180,22416,10876,171,101,32,6759,4117,5051,8.850104,-76.427089
1039,Argelia,Antioquia,21,21,3334,6570,3258,54,14,8,3124,134,5055,5.730859,-75.142186
1040,Armenia,Antioquia,13,13,2068,4688,1954,68,37,9,1739,215,5059,6.157058999999999,-75.786783
1043,Barbosa,Antioquia,111,111,20912,40499,18915,1216,524,257,14540,4375,5079,6.438790999999999,-75.334099
1049,Bello,Antioquia,819,819,181478,331836,166949,10987,3331,211,125307,41642,5088,6.336728799999999,-75.55958869999999
1046,Belmira,Antioquia,15,15,2269,4750,2126,100,32,11,1904,222,5086,6.606241,-75.666528
1052,Betania,Antioquia,23,23,3553,8342,3448,64,28,13,3161,287,5091,5.746649,-75.977569
1055,Betulia,Antioquia,37,37,6284,13332,6079,122,57,26,5784,295,5093,6.11278,-75.98467
1058,Bolivar,Antioquia,66,66,11663,23836,11205,338,92,28,10044,1161,5101,5.852475999999999,-76.0218469
1062,Briceño,Antioquia,22,22,2210,6610,1960,156,62,32,1360,600,5107,7.112883999999999,-75.550674
1061,Buritica,Antioquia,21,21,2930,7299,2729,120,57,24,2211,518,5113,6.721916999999999,-75.90597600000001
1064,Caceres,Antioquia,54,54,5556,19548,5314,140,79,23,2853,2461,5120,7.579028999999998,-75.34954499999999
1067,Caicedo,Antioquia,17,17,3134,6267,2984,94,34,22,2659,325,5125,6.405354,-75.984309
1070,Caldas,Antioquia,172,172,37414,63501,33271,2924,1151,68,24691,8580,5129,6.094316999999999,-75.633347
1073,Campamento,Antioquia,19,19,1934,6625,1833,68,19,14,1581,252,5134,6.979498,-75.2966019
1078,Caracoli,Antioquia,15,15,1854,4710,1746,83,21,4,1448,298,5142,6.408748999999999,-74.7576179
1079,Caramanta,Antioquia,15,15,2432,4992,2299,93,33,7,1947,352,5145,5.548956,-75.64370699999999
1080,Carepa,Antioquia,117,117,18268,42614,17236,708,279,45,8774,8462,5147,7.755354,-76.6554309
1082,Carmen De Viboral,Antioquia,101,101,23960,36226,22170,1278,447,65,16807,5363,5148,6.082178,-75.33738400000001
1085,Carolina,Antioquia,12,12,1899,4049,1754,104,39,2,1515,239,5150,6.724917,-75.282299
1088,Caucasia,Antioquia,192,192,29864,68594,28148,1069,574,73,16151,11997,5154,7.979698,-75.1985629
1076,Cañasgordas,Antioquia,37,37,7262,13434,6955,192,95,20,6434,521,5138,6.750597,-76.02611
1106,Chigorodo,Antioquia,104,104,19542,46034,18387,757,341,57,9167,9220,5172,7.665099000000001,-76.67748999999999
1091,Cisneros,Antioquia,31,31,5070,11528,4666,284,96,24,3902,764,5190,6.538376,-75.08706699999999
1094,Cocorna,Antioquia,38,38,7614,13259,7377,162,53,22,6749,628,5197,6.057265,-75.185598
1097,Concepcion,Antioquia,12,12,2229,4294,2142,61,17,9,1974,168,5206,6.394353,-75.256581
1100,Concordia,Antioquia,43,43,6906,15881,6620,205,50,31,6120,500,5209,6.044979,-75.908354
1103,Copacabana,Antioquia,178,178,36712,66571,33420,2469,766,57,24052,9368,5212,6.357621,-75.505078
1109,Dabeiba,Antioquia,48,48,6620,17541,6253,205,123,39,4581,1672,5234,6.997374,-76.256824
1112,Don Matias,Antioquia,47,47,9098,17033,8604,380,95,19,7706,898,5237,6.485702,-75.39383099999999
1115,Ebejico,Antioquia,32,32,5416,11258,5077,174,69,96,4599,478,5240,6.326906,-75.76734499999999
1117,El Bagre,Antioquia,99,99,12517,36574,11785,499,200,33,7883,3902,5250,7.605682600000001,-74.8062648
1118,Entrerrios,Antioquia,23,23,4647,8462,4304,282,51,10,3764,540,5264,6.566146,-75.516908
1121,Envigado,Antioquia,605,605,145705,241042,135100,8713,1774,118,109059,26041,5266,6.169610899999999,-75.58736360000002
1124,Fredonia,Antioquia,53,53,7919,18205,7315,429,147,28,5940,1375,5282,5.927245,-75.671007
1127,Frontino,Antioquia,51,51,6136,16854,5686,266,141,43,4276,1410,5284,6.777958,-76.13291699999999
